Quantity,Price,Customer ID,T,Y
10,1.65,15358.0,1,16.5
16,1.25,14228.0,1,20.0
2,8.5,17080.0,1,17.0
6,1.95,17092.0,1,11.7
1,6.75,14584.0,1,6.75
1,4.25,17869.0,1,4.25
2,3.75,16065.0,1,7.5
4,6.75,15228.0,1,27.0
6,1.65,12835.0,1,9.899999999999999
1,4.95,16466.0,1,4.95
1,1.65,18118.0,1,1.65
2,0.85,15768.0,1,1.7
1,1.25,17757.0,1,1.25
5,1.25,13550.0,1,6.25
6,1.65,14682.0,1,9.899999999999999
10,1.65,12785.0,0,16.5
1,0.42,13071.0,1,0.42
9,1.45,14606.0,1,13.049999999999999
12,1.25,16742.0,1,15.0
48,2.1,16210.0,1,100.80000000000001
10,6.35,15291.0,1,63.5
2,6.75,15772.0,1,13.5
20,2.1,17003.0,1,42.0
2,19.95,14911.0,0,39.9
10,1.25,13459.0,1,12.5
12,1.45,17188.0,1,17.4
8,1.65,12714.0,0,13.2
24,0.65,12455.0,0,15.600000000000001
6,0.65,17227.0,1,3.9000000000000004
1,1.65,15542.0,1,1.65
12,1.65,15150.0,1,19.799999999999997
2,0.85,16391.0,1,1.7
3,2.95,16241.0,1,8.850000000000001
2,1.65,15910.0,1,3.3
3,4.95,17146.0,1,14.850000000000001
24,1.65,12682.0,0,39.599999999999994
1,1.65,17974.0,1,1.65
1,5.95,15921.0,1,5.95
6,2.95,13267.0,1,17.700000000000003
12,0.85,13982.0,1,10.2
10,1.95,16779.0,1,19.5
2,7.95,16277.0,1,15.9
2,1.65,16010.0,1,3.3
2,1.25,17555.0,1,2.5
24,0.29,13077.0,1,6.959999999999999
12,0.85,13485.0,1,10.2
12,0.85,13855.0,1,10.2
3,1.25,15555.0,1,3.75
25,0.42,17861.0,1,10.5
36,0.42,15617.0,1,15.12
12,1.95,18223.0,1,23.4
8,1.25,13767.0,1,10.0
2,4.95,13032.0,1,9.9
5,1.25,16261.0,1,6.25
2,2.1,16409.0,1,4.2
2,1.45,17167.0,1,2.9
5,0.85,14343.0,1,4.25
2,7.49,12744.0,0,14.98
3,6.95,14649.0,1,20.85
24,0.85,15599.0,1,20.4
24,0.55,17512.0,1,13.200000000000001
6,2.95,15209.0,1,17.700000000000003
3,1.25,14713.0,1,3.75
6,1.25,15161.0,1,7.5
10,1.25,12490.0,0,12.5
2,1.25,17091.0,1,2.5
48,0.65,17059.0,1,31.200000000000003
